"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"C1";"100nF";"C0805C104K1RACTU";"C0805";"SMD Comm X7R, Ceramic, 0.1 uF, 10%, 100 VDC, 250 VDC, 125C, -55C, X7R, SMD, MLCC, Temperature Stable, Class II, 2.5 % , 10 GOhms, 16 mg, 0805, 2mm, 1.25mm, 1mm, 0.75mm, 0.5mm, 2500, 78  Weeks, 80";"SMD Comm X7R, Ceramic, 0.1 uF, 10%, 100 VDC, 250 VDC, 125C, -55C, X7R, SMD, MLCC, Temperature Stable, Class II, 2.5 % , 10 GOhms, 16 mg, 0805, 2mm, 1.25mm, 1mm, 0.75mm, 0.5mm, 2500, 78  Weeks, 80";"1.1mm";"KEMET";"C0805C104K1RACTU";"";"80-C0805C104K1R";"https://www.mouser.co.uk/ProductDetail/KEMET/C0805C104K1RACTU?qs=%252BnQd%252BVdkwTpk7hSy9esUqA%3D%3D";"";"";"";"";"";
"C2";"10nF";"C0805Y103K4RACTU";"C0805";"SMD Comm X7R FF, Ceramic, 0.01 uF, 10%, 16 VDC, 40 VDC, 125C, -55C, X7R, SMD, MLCC, FF-CAP, Floating Electrode, 3.5 % , 100 GOhms, 13 mg, 0805, 2mm, 1.25mm, 0.78mm, 0.75mm, 0.5mm, 4000, 78  Weeks, 80";"SMD Comm X7R FF, Ceramic, 0.01 uF, 10%, 16 VDC, 40 VDC, 125C, -55C, X7R, SMD, MLCC, FF-CAP, Floating Electrode, 3.5 % , 100 GOhms, 13 mg, 0805, 2mm, 1.25mm, 0.78mm, 0.75mm, 0.5mm, 4000, 78  Weeks, 80";"1.1mm";"KEMET";"C0805Y103K4RACTU";"";"80-C0805Y103K4R";"https://www.mouser.co.uk/ProductDetail/KEMET/C0805Y103K4RACTU?qs=sbamQQFaV8yazvNwKcnfeQ%3D%3D";"";"";"";"";"";
"C3";"100nF";"C0805C223K5RAC7210";"C0805";"SMD Comm X7R, Ceramic, 0.022 uF, 10%, 50 VDC, 125 VDC, 125C, -55C, X7R, SMD, MLCC, Temperature Stable, Class II, 2.5 % , 45.4545 GOhms, 11 mg, 0805, 2mm, 1.25mm, 0.78mm, 0.75mm, 0.5mm, 15000, 78  Weeks, 80";"SMD Comm X7R, Ceramic, 0.022 uF, 10%, 50 VDC, 125 VDC, 125C, -55C, X7R, SMD, MLCC, Temperature Stable, Class II, 2.5 % , 45.4545 GOhms, 11 mg, 0805, 2mm, 1.25mm, 0.78mm, 0.75mm, 0.5mm, 15000, 78  Weeks, 80";"1.1mm";"KEMET";"C0805C223K5RAC7210";"";"";"";"";"";"";"";"";
"C4";"22nF";"C0805C223K5RAC7210";"C0805";"SMD Comm X7R, Ceramic, 0.022 uF, 10%, 50 VDC, 125 VDC, 125C, -55C, X7R, SMD, MLCC, Temperature Stable, Class II, 2.5 % , 45.4545 GOhms, 11 mg, 0805, 2mm, 1.25mm, 0.78mm, 0.75mm, 0.5mm, 15000, 78  Weeks, 80";"SMD Comm X7R, Ceramic, 0.022 uF, 10%, 50 VDC, 125 VDC, 125C, -55C, X7R, SMD, MLCC, Temperature Stable, Class II, 2.5 % , 45.4545 GOhms, 11 mg, 0805, 2mm, 1.25mm, 0.78mm, 0.75mm, 0.5mm, 15000, 78  Weeks, 80";"1.1mm";"KEMET";"C0805C223K5RAC7210";"";"";"";"";"";"";"";"";
"C5";"10uF";"T491A106M016AT7280";"T491A";"T491, Tantalum, MnO2 Tantalum, Commercial Grade, 10 uF, 20%, 16 VDC, 125C, -55C, 85C, SMD, MnO2, Molded, 6 % , 3 Ohms, 1600 nA, 58.6 mg, 3216, 1.6mm, Height Max = 1.8mm, 9000, 156  Weeks";"T491, Tantalum, MnO2 Tantalum, Commercial Grade, 10 uF, 20%, 16 VDC, 125C, -55C, 85C, SMD, MnO2, Molded, 6 % , 3 Ohms, 1600 nA, 58.6 mg, 3216, 1.6mm, Height Max = 1.8mm, 9000, 156  Weeks";"1.8mm";"KEMET";"T491A106M016AT7280";"";"80-T491A106M16AT7280";"https://www.mouser.co.uk/ProductDetail/KEMET/T491A106M016AT7280?qs=WOKUqv%2F%2FT%2FbXhYcv8zpvIg%3D%3D";"";"";"";"";"";
"C6";"10uF";"T491A106M016AT7280";"T491A";"T491, Tantalum, MnO2 Tantalum, Commercial Grade, 10 uF, 20%, 16 VDC, 125C, -55C, 85C, SMD, MnO2, Molded, 6 % , 3 Ohms, 1600 nA, 58.6 mg, 3216, 1.6mm, Height Max = 1.8mm, 9000, 156  Weeks";"T491, Tantalum, MnO2 Tantalum, Commercial Grade, 10 uF, 20%, 16 VDC, 125C, -55C, 85C, SMD, MnO2, Molded, 6 % , 3 Ohms, 1600 nA, 58.6 mg, 3216, 1.6mm, Height Max = 1.8mm, 9000, 156  Weeks";"1.8mm";"KEMET";"T491A106M016AT7280";"";"80-T491A106M16AT7280";"https://www.mouser.co.uk/ProductDetail/KEMET/T491A106M016AT7280?qs=WOKUqv%2F%2FT%2FbXhYcv8zpvIg%3D%3D";"";"";"";"";"";
"C7";"10uF";"T491A106M016AT7280";"T491A";"T491, Tantalum, MnO2 Tantalum, Commercial Grade, 10 uF, 20%, 16 VDC, 125C, -55C, 85C, SMD, MnO2, Molded, 6 % , 3 Ohms, 1600 nA, 58.6 mg, 3216, 1.6mm, Height Max = 1.8mm, 9000, 156  Weeks";"T491, Tantalum, MnO2 Tantalum, Commercial Grade, 10 uF, 20%, 16 VDC, 125C, -55C, 85C, SMD, MnO2, Molded, 6 % , 3 Ohms, 1600 nA, 58.6 mg, 3216, 1.6mm, Height Max = 1.8mm, 9000, 156  Weeks";"1.8mm";"KEMET";"T491A106M016AT7280";"";"80-T491A106M16AT7280";"https://www.mouser.co.uk/ProductDetail/KEMET/T491A106M016AT7280?qs=WOKUqv%2F%2FT%2FbXhYcv8zpvIg%3D%3D";"";"";"";"";"";
"C8";"100nF";"C0805C104K1RACTU";"C0805";"SMD Comm X7R, Ceramic, 0.1 uF, 10%, 100 VDC, 250 VDC, 125C, -55C, X7R, SMD, MLCC, Temperature Stable, Class II, 2.5 % , 10 GOhms, 16 mg, 0805, 2mm, 1.25mm, 1mm, 0.75mm, 0.5mm, 2500, 78  Weeks, 80";"SMD Comm X7R, Ceramic, 0.1 uF, 10%, 100 VDC, 250 VDC, 125C, -55C, X7R, SMD, MLCC, Temperature Stable, Class II, 2.5 % , 10 GOhms, 16 mg, 0805, 2mm, 1.25mm, 1mm, 0.75mm, 0.5mm, 2500, 78  Weeks, 80";"1.1mm";"KEMET";"C0805C104K1RACTU";"";"80-C0805C104K1R";"https://www.mouser.co.uk/ProductDetail/KEMET/C0805C104K1RACTU?qs=%252BnQd%252BVdkwTpk7hSy9esUqA%3D%3D";"";"";"";"";"";
"C9";"100nF";"C0805C104K1RACTU";"C0805";"SMD Comm X7R, Ceramic, 0.1 uF, 10%, 100 VDC, 250 VDC, 125C, -55C, X7R, SMD, MLCC, Temperature Stable, Class II, 2.5 % , 10 GOhms, 16 mg, 0805, 2mm, 1.25mm, 1mm, 0.75mm, 0.5mm, 2500, 78  Weeks, 80";"SMD Comm X7R, Ceramic, 0.1 uF, 10%, 100 VDC, 250 VDC, 125C, -55C, X7R, SMD, MLCC, Temperature Stable, Class II, 2.5 % , 10 GOhms, 16 mg, 0805, 2mm, 1.25mm, 1mm, 0.75mm, 0.5mm, 2500, 78  Weeks, 80";"1.1mm";"KEMET";"C0805C104K1RACTU";"";"80-C0805C104K1R";"https://www.mouser.co.uk/ProductDetail/KEMET/C0805C104K1RACTU?qs=%252BnQd%252BVdkwTpk7hSy9esUqA%3D%3D";"";"";"";"";"";
"C10";"100nF";"C0805C104K1RACTU";"C0805";"SMD Comm X7R, Ceramic, 0.1 uF, 10%, 100 VDC, 250 VDC, 125C, -55C, X7R, SMD, MLCC, Temperature Stable, Class II, 2.5 % , 10 GOhms, 16 mg, 0805, 2mm, 1.25mm, 1mm, 0.75mm, 0.5mm, 2500, 78  Weeks, 80";"SMD Comm X7R, Ceramic, 0.1 uF, 10%, 100 VDC, 250 VDC, 125C, -55C, X7R, SMD, MLCC, Temperature Stable, Class II, 2.5 % , 10 GOhms, 16 mg, 0805, 2mm, 1.25mm, 1mm, 0.75mm, 0.5mm, 2500, 78  Weeks, 80";"1.1mm";"KEMET";"C0805C104K1RACTU";"";"80-C0805C104K1R";"https://www.mouser.co.uk/ProductDetail/KEMET/C0805C104K1RACTU?qs=%252BnQd%252BVdkwTpk7hSy9esUqA%3D%3D";"";"";"";"";"";
